,Unnamed: 0.1,Unnamed: 0,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment,price_mean,mileage_mean
0,0,0,mazda,2,5500,2008,with mileage,162000.0,petrol,1500.0,burgundy,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
1,1,1,mazda,2,5350,2009,with mileage,120000.0,petrol,1300.0,black,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
2,2,2,mazda,2,7000,2009,with mileage,61000.0,petrol,1500.0,silver,auto,front-wheel drive,B,758866.6666666666,176636.26666666666
3,3,3,mazda,2,3300,2003,with mileage,265000.0,diesel,1400.0,white,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
4,4,4,mazda,2,5200,2008,with mileage,97183.0,diesel,1400.0,gray,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
5,5,5,mazda,2,3400,2005,with mileage,150000.0,petrol,1300.0,blue,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
6,6,6,mazda,2,5000,2008,with mileage,112000.0,petrol,1300.0,gray,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
7,7,7,mazda,2,7300,2009,with mileage,95000.0,petrol,1500.0,other,auto,front-wheel drive,B,758866.6666666666,176636.26666666666
8,8,8,mazda,2,6400,2010,with mileage,93804.0,petrol,1500.0,other,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
9,9,9,mazda,2,6132,2008,with mileage,196511.0,petrol,1500.0,other,auto,front-wheel drive,B,758866.6666666666,176636.26666666666
10,10,10,mazda,2,5200,2008,with mileage,98000.0,diesel,1500.0,gray,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
11,11,11,mazda,2,3299,2003,with mileage,314000.0,diesel,1400.0,gray,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
12,12,12,mazda,2,5400,2008,with mileage,150000.0,diesel,1400.0,purple,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
13,13,13,mazda,2,6850,2010,with mileage,147000.0,petrol,1500.0,gray,auto,front-wheel drive,B,758866.6666666666,176636.26666666666
14,14,14,mazda,2,5300,2008,with mileage,118000.0,diesel,1400.0,silver,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
15,15,15,mazda,2,5670,2010,with mileage,148000.0,diesel,1400.0,gray,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
16,16,16,mazda,2,5950,2009,with mileage,102860.0,petrol,1500.0,silver,mechanics,front-wheel drive,B,758866.6666666666,176636.26666666666
